"periods","k","y","c","sy","A","L","L_A","g","lnk","lny","lnc","gy"
979,1.759,1.172,0.879,0.293,4.8538270441456e+19,262765385.839,10510615.434,0.046,45.894,45.488,45.2,0.045
980,1.759,1.172,0.879,0.293,50755884525058523136,268020693.556,10720827.742,0.046,45.938,45.533,45.245,0.045
981,1.759,1.172,0.879,0.293,53074816709019385856,273381107.427,10935244.297,0.046,45.983,45.577,45.29,0.045
982,1.759,1.172,0.879,0.293,55499695998347788288,278848729.576,11153949.183,0.046,46.028,45.622,45.334,0.045
983,1.759,1.172,0.879,0.293,58035362887120060416,284425704.167,11377028.167,0.046,46.073,45.667,45.379,0.045
984,1.759,1.172,0.879,0.293,60686879020944637952,290114218.251,11604568.73,0.046,46.117,45.711,45.424,0.045
985,1.759,1.172,0.879,0.293,63459537300883472384,295916502.616,11836660.105,0.046,46.162,45.756,45.468,0.045
986,1.759,1.172,0.879,0.293,66358872448998875136,301834832.668,12073393.307,0.046,46.207,45.801,45.513,0.045
987,1.759,1.172,0.879,0.293,69390672056616493056,307871529.321,12314861.173,0.046,46.251,45.845,45.558,0.045
988,1.759,1.172,0.879,0.293,72560988137358606336,314028959.908,12561158.396,0.046,46.296,45.89,45.602,0.045
989,1.759,1.172,0.879,0.293,75876149208009539584,320309539.106,12812381.564,0.046,46.341,45.935,45.647,0.045
990,1.759,1.172,0.879,0.293,79342772921328648192,326715729.888,13068629.196,0.046,46.385,45.979,45.692,0.045
991,1.759,1.172,0.879,0.293,82967779276028149760,333250044.486,13330001.779,0.046,46.43,46.024,45.736,0.045
992,1.759,1.172,0.879,0.293,86758404430285144064,339915045.376,13596601.815,0.046,46.475,46.069,45.781,0.045
993,1.759,1.172,0.879,0.293,90722215146361864192,346713346.283,13868533.851,0.046,46.519,46.113,45.826,0.045
994,1.759,1.172,0.879,0.293,94867123895168155648,353647613.209,14145904.528,0.046,46.564,46.158,45.87,0.045
995,1.759,1.172,0.879,0.293,99201404650917429248,360720565.473,14428822.619,0.046,46.609,46.203,45.915,0.045
996,1.759,1.172,0.879,0.293,1.03733709407405e+20,367934976.782,14717399.071,0.046,46.653,46.247,45.96,0.045
997,1.759,1.172,0.879,0.293,1.08473085448877e+20,375293676.318,15011747.053,0.046,46.698,46.292,46.004,0.045
998,1.759,1.172,0.879,0.293,1.1342899340997e+20,382799549.844,15311981.994,0.046,46.743,46.337,46.049,0.045
999,1.759,1.172,0.879,0.293,1.18611326160761e+20,390455540.841,15618221.634,0.046,46.787,46.381,46.094,0.045
1000,1.759,1.172,0.879,0.293,1.24030428554642e+20,398264651.658,15930586.066,0.046,46.832,46.426,46.138,0.045
